athlete,athleteLabel,sportLabel,countryLabel
http://www.wikidata.org/entity/Q57854,Laurent Lamothe,tennis,Haiti
http://www.wikidata.org/entity/Q53550,Althea Gibson,tennis,United States
http://www.wikidata.org/entity/Q54539,Bobby Riggs,tennis,United States
http://www.wikidata.org/entity/Q57935,Kristina Barrois,tennis,Germany
http://www.wikidata.org/entity/Q57942,Tatjana Maria,tennis,Germany
http://www.wikidata.org/entity/Q53569,Steve Johnson,tennis,United States
http://www.wikidata.org/entity/Q53553,Alexa Glatch,tennis,United States
http://www.wikidata.org/entity/Q53555,Carly Gullickson,tennis,United States
http://www.wikidata.org/entity/Q53562,Darlene Hard,tennis,United States
http://www.wikidata.org/entity/Q53561,Jamie Hampton,tennis,United States
http://www.wikidata.org/entity/Q53566,John Isner,tennis,United States
http://www.wikidata.org/entity/Q53565,Liezel Huber,tennis,United States
http://www.wikidata.org/entity/Q53548,Nicole Gibbs,tennis,United States
http://www.wikidata.org/entity/Q53551,Robby Ginepri,tennis,United States
http://www.wikidata.org/entity/Q53547,Vitas Gerulaitis,tennis,United States
http://www.wikidata.org/entity/Q53560,Tommy Haas,tennis,United States
http://www.wikidata.org/entity/Q54580,Ted Schroeder,tennis,United States
http://www.wikidata.org/entity/Q53565,Liezel Huber,tennis,South Africa
http://www.wikidata.org/entity/Q53560,Tommy Haas,tennis,Germany
http://www.wikidata.org/entity/Q57977,Sylvia Hanika,tennis,Germany
http://www.wikidata.org/entity/Q54693,Sidney Wood,tennis,United States
http://www.wikidata.org/entity/Q54694,Donald Young,tennis,United States
http://www.wikidata.org/entity/Q57401,Anke Huber,tennis,Germany
http://www.wikidata.org/entity/Q54535,Alice Marble,tennis,United States
http://www.wikidata.org/entity/Q54531,Art Larsen,tennis,United States
http://www.wikidata.org/entity/Q54527,Billie Jean King,tennis,United States
http://www.wikidata.org/entity/Q54549,Budge Patty,tennis,United States
http://www.wikidata.org/entity/Q54540,Chuck McKinley,tennis,United States
http://www.wikidata.org/entity/Q54526,Gene Mako,tennis,United States
http://www.wikidata.org/entity/Q54542,Grace Min,tennis,United States
http://www.wikidata.org/entity/Q54544,Gardnar Mulloy,tennis,United States
http://www.wikidata.org/entity/Q54543,Helen Wills,tennis,United States
http://www.wikidata.org/entity/Q54530,Johan Kriek,tennis,United States
http://www.wikidata.org/entity/Q54533,Jesse Levine,tennis,United States
http://www.wikidata.org/entity/Q54546,Nancy Richey,tennis,United States
http://www.wikidata.org/entity/Q54525,Robert Kendrick,tennis,United States
http://www.wikidata.org/entity/Q54538,Sam Querrey,tennis,United States
http://www.wikidata.org/entity/Q54541,Ralph McKittrick,tennis,United States
http://www.wikidata.org/entity/Q54547,Sarah Palfrey Cooke,tennis,United States
http://www.wikidata.org/entity/Q54550,Shenay Perry,tennis,United States
http://www.wikidata.org/entity/Q54528,Vania King,tennis,United States
http://www.wikidata.org/entity/Q54532,Varvara Lepchenko,tennis,United States
http://www.wikidata.org/entity/Q54530,Johan Kriek,tennis,South Africa
http://www.wikidata.org/entity/Q54533,Jesse Levine,tennis,Canada
http://www.wikidata.org/entity/Q54532,Varvara Lepchenko,tennis,Uzbekistan
http://www.wikidata.org/entity/Q54572,Alison Riske-Amritraj,tennis,United States
http://www.wikidata.org/entity/Q54584,Andy Roddick,tennis,United States
http://www.wikidata.org/entity/Q54579,Chiara Scholl,tennis,United States
http://www.wikidata.org/entity/Q54576,Charles Sands,tennis,United States
http://www.wikidata.org/entity/Q54577,Dick Savitt,tennis,United States
